# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.8.3

animal::1, string, 8003636F77
animal::2, string, 8007636869636B656E
animal::3, string, 80057368656570
animal::4, string, 8003636F64
animal::5, string, 8006726162626974
animal::6, string, 800673616C6D6F6E
animal::7, string, 8004776F6C66
animal::8, string, 8003706967
animal::9, string, 80096D6F6F7368726F6F6D
blocks::1, string, 800B636F62626C6573746F6E65
blocks::2, string, 800E616E6369656E7420646562726973
blocks::3, string, 800B656D6572616C64206F7265
blocks::4, string, 800B6469616D6F6E64206F7265
blocks::5, string, 800869726F6E206F7265
blocks::6, string, 8008676F6C64206F7265
blocks::7, string, 8004636F616C
blocks::8, string, 8007626564726F636B
cobblecooldown::1, long, 0000000000000000
hostile::1, string, 80067A6F6D626965
hostile::2, string, 8008736B656C65746F6E
hostile::3, string, 800A73696C76657266697368
hostile::4, string, 800763726565706572
hostile::5, string, 80077068616E746F6D
hostile::6, string, 8006737069646572
hostile::7, string, 8003766578
hostile::8, string, 800A76696E64696361746F72
hostile::9, string, 800870696C6C61676572
mobcooldown::1, long, 0000000000000000
mobcooldown::rare1k, long, 0000000000000000
orecooldown::1, long, 0000000000000000
orecooldown.<none>, long, 0000000000000000
orecooldown.rare1k, long, 0000000000000000

